Date/Time,Word Count,en,hu,hu-HU,sk-SK
2019.09.08-18.22.13,16,0,0,0,16
2019.09.08-18.23.13,15,0,0,0,15
2019.09.09-23.24.41,15,12,0,0,15
2019.09.11-19.14.37,28,12,0,0,28
2019.09.11-19.17.17,28,12,0,4,28
2019.09.11-20.05.29,28,12,0,8,28
2019.09.11-20.14.40,50,0,0,8,50
2019.09.11-20.22.58,61,33,0,41,61
2019.09.11-20.25.48,79,45,0,53,79
2019.09.11-20.34.20,98,45,0,53,98
2019.09.11-20.43.40,101,82,0,90,101
2019.09.11-20.50.10,209,85,0,93,209
2019.09.11-20.53.26,250,193,0,201,250
2019.09.11-20.59.31,376,232,0,240,376
2019.09.11-21.06.06,389,360,0,368,389
2019.09.11-21.13.56,441,360,0,381,441
2019.09.11-21.14.58,440,358,0,430,440
2019.09.11-21.19.06,456,424,0,430,456
2019.09.11-21.21.58,456,440,0,448,456
2019.09.11-21.59.09,456,440,440,440,456
